Name;Symbol;Market
COV CASES ALGERIA;AAWCCOV;Algeria
COV CASES ANTIGUA&BARBUDA;ABWCCOV;Antigua and Barbuda
COV CASES ANDORRA;ADWCCOV;Andorra
COV CASES ARUBA;AEWCCOV;Aruba
COV CASES AFGHANISTAN;AFWCCOV;Afghanistan
COV CASES ARGENTINA;AGWCCOV;Argentina
COV CASES AZERBAIJAN;AJWCCOV;Azerbaijan
COV CASES ALBANIA;ALWCCOV;Albania
COV CASES ARMENIA;AMWCCOV;Armenia
COV CASES ANGOLA;AOWCCOV;Angola
COV CASES AUSTRALIA;AUCICOV;Australia
COV CASES BAHRAIN;BAWCCOV;Bahrain
COV CASES BARBADOS;BBWCCOV;Barbados
COV CASES GERMANY;BDCICOV;Germany
COV CASES BENIN;BEWCCOV;Benin
COV CASES BELGIUM;BGWCCOV;Belgium
COV CASES BAHAMAS;BHWCCOV;The Bahamas
COV CASES BRUNEI;BIWCCOV;Brunei
COV CASES BULGARIA;BLWCCOV;Bulgaria
COV CASES BERMUDA;BMWCCOV;Bermuda
COV CASES BA;BPWCCOV;Bosnia and Herzegovina
COV CASES BRAZIL;BRWCCOV;Brazil
COV CASES BANGLADESH;BSWCCOV;Bangladesh
COV CASES BHUTAN;BTWCCOV;Bhutan
COV CASES MYANMAR;BUWCCOV;Myanmar
COV CASES BOLIVIA;BVWCCOV;Bolivia
COV CASES BELARUS;BYWCCOV;Belarus
COV CASES BELIZE;BZWCCOV;Belize
COV CASES CAMEROON;CAWCCOV;Cameroon
COV CASES COLOMBIA;CBWCCOV;Colombia
COV CASES CHAD;CDWCCOV;Chad
COV CASES CNTRL AFRCN REP;CEWCCOV;Central African Republic
COV CASES CURACAO;CGWCCOV;Curacao
COV CASES CHINA;CHWCCOV;China
COV CASES CAYMAN ISLANDS;CIWCCOV;Cayman Islands
COV CASES CHILE;CLWCCOV;Chile
COV CASES CANADA;CNCICOV;Canada
COV CASES CONGO;COWCCOV;Republic of the Congo
COV CASES CYPRUS;CPWCCOV;Cyprus
COV CASES COSTA RICA;CRWCCOV;Costa Rica
COV CASES CROATIA;CTWCCOV;Croatia
COV CASES CUBA;CUWCCOV;Cuba
COV CASES CABO VERDE;CVWCCOV;Cape Verde
COV CASES CZECHIA;CZWCCOV;Czech Republic
COV CASES DJIBOUTI;DJWCCOV;Djibouti
COV CASES DENMARK;DKWCCOV;Denmark
COV CASES DOMINICA;DOWCCOV;Dominica
COV CASES SINT MAARTEN;DPWCCOV;Sint Maarten
COV CASES ECUADOR;EDWCCOV;Ecuador
COV CASES EL SALVADOR;ELWCCOV;El Salvador
COV CASES ERITREA;ENWCCOV;Eritrea
COV CASES EQUATORIAL GUINE;EQWCCOV;Equatorial Guinea
COV CASES SPAIN;ESWCCOV;Spain
COV CASES ETHIOPIA;ETWCCOV;Ethiopia
COV CASES EGYPT;EYWCCOV;Egypt
COV CASES FAROE ISLANDS;FAWCCOV;Faroe Islands
